Index,Symbol,Name,Weight,HexColor,GroupBlock,Density,Food,Science,Words,Temperature,Pressure,Radiation,Gravity
1,H,Hydrogen,1.008,#FFFFFF,nonmetal,0,0.18,0,0,0,0,0,0
2,He,Helium,4.003,#D9FFFF,noble gas,0,0.03,0.02,0,0,0,0,0
3,Li,Lithium,6.941,#CC80FF,alkali metal,0.535,0,0.02,0,0,0,0,0
4,Be,Beryllium,9.012,#C2FF00,alkaline earth metal,1.848,0,0.01,0.02,0.01,0,0,0
5,B,Boron,10.811,#FFB5B5,metalloid,2.46,0,0,0.03,0.01,0,0,0.01
6,C,Carbon,12.011,#909090,nonmetal,2.26,0.12,0,0.01,0,0.01,0,0.01
7,N,Nitrogen,14.007,#3050F8,nonmetal,0.001,0.18,0,0,0,0.01,0,0.01
8,O,Oxygen,15.999,#FF0D0D,nonmetal,0.001,0.07,0.02,0,0,0.01,0.01,0
9,F,Fluorine,18.998,#B3E3F5,halogen,0.002,0,0.03,0,0.01,0.01,0.02,0
10,Ne,Neon,20.18,#B3E3F5,noble gas,0.001,0,0.02,0.02,0.01,0,0.01,0
11,Na,Sodium,22.99,#AB5CF2,alkali metal,0.968,0,0,0.04,0.02,0,0.01,0.01
12,Mg,Magnesium,24.305,#8AFF00,alkaline earth metal,1.738,0.07,0,0.03,0.02,0.01,0,0.02
13,Al,Aluminum,26.982,#BFA6A6,metal,2.7,0.16,0,0,0.01,0.02,0,0.02
14,Si,Silicon,28.086,#F0C8A0,metalloid,2.33,0.11,0.03,0,0,0.02,0.01,0.02
15,P,Phosphorus,30.974,#FF8000,nonmetal,1.823,0,0.05,0,0,0.02,0.02,0.01
16,S,Sulfur,32.065,#FFFF30,nonmetal,1.96,0,0.04,0.02,0.01,0.02,0.03,0
17,Cl,Chlorine,35.453,#1FF01F,halogen,0.003,0,0,0.04,0.02,0.01,0.03,0
18,Ar,Argon,39.948,#80D1E3,noble gas,0.002,0.02,0,0.04,0.03,0,0.02,0.01
19,K,Potassium,39.098,#8F40D4,alkali metal,0.856,0.14,0,0.01,0.03,0,0.01,0.02
20,Ca,Calcium,40.078,#3DFF00,alkaline earth metal,1.55,0.13,0.02,0,0.02,0.02,0,0.03
21,Sc,Scandium,44.956,#E6E6E6,transition metal,2.985,0,0.05,0,0.01,0.03,0,0.03
22,Ti,Titanium,47.867,#BFC2C7,transition metal,4.507,0,0.05,0.01,0,0.04,0.02,0.02
23,V,Vanadium,50.942,#A6A6AB,transition metal,6.11,0,0.02,0.05,0,0.03,0.03,0.01
24,Cr,Chromium,51.996,#8A99C7,transition metal,7.14,0,0,0.06,0.02,0.01,0.04,0
25,Mn,Manganese,54.938,#9C7AC7,transition metal,7.47,0.11,0,0.03,0.04,0,0.03,0.01
26,Fe,Iron,55.845,#E06633,transition metal,7.874,0.13,0.02,0,0.04,0,0.02,0.02
27,Co,Cobalt,58.933,#F090A0,transition metal,8.9,0.04,0.06,0,0.04,0.02,0,0.04
28,Ni,Nickel,58.693,#50D050,transition metal,8.908,0,0.07,0,0.02,0.04,0,0.05
29,Cu,Copper,63.546,#C88033,transition metal,8.92,0,0.04,0.05,0,0.05,0.02,0.04
30,Zn,Zinc,65.38,#7D80B0,transition metal,7.14,0,0,0.07,0,0.04,0.04,0.02
31,Ga,Gallium,69.723,#C28F8F,metal,5.904,0.07,0,0.05,0.02,0.03,0.05,0
32,Ge,Germanium,72.64,#668F8F,metalloid,5.323,0.13,0.01,0,0.04,0.01,0.05,0
33,As,Arsenic,74.922,#BD80E3,metalloid,5.727,0.07,0.05,0,0.06,0,0.03,0.02
34,Se,Selenium,78.96,#FFA100,nonmetal,4.819,0,0.08,0,0.05,0.01,0.01,0.05
35,Br,Bromine,79.904,#A62929,halogen,3.12,0,0.06,0.04,0.03,0.04,0,0.06
